ts_location	java_path	symbol	java_exists
typescript/packages/engine/src/action/action-set-var.ts:1	Core/src/other/action/state/ActionSetVar.java	ActionSetVar	true
typescript/packages/engine/src/action/action-store-state.ts:1	Core/src/other/action/state/ActionStoreStateInContext.java	ActionStoreStateInContext	true
typescript/packages/engine/src/action/action-trigger.ts:1	Core/src/other/action/state/ActionTrigger.java	ActionTrigger	true
typescript/packages/engine/src/concept.ts:1	Core/src/other/concept/Concept.java	Concept	true
typescript/packages/engine/src/context.ts:1	Core/src/other/context/Context.java	Context	true
typescript/packages/engine/src/game-loader.ts:1	Core/src/other/GameLoader.java	GameLoader	true
typescript/packages/engine/src/move.ts:1	Core/src/other/move/Move.java	Move	true
typescript/packages/engine/src/state.ts:2	Core/src/other/state/container/ContainerState.java	ContainerState	true
typescript/packages/engine/src/state.ts:1	Core/src/other/state/State.java	State	true
typescript/packages/engine/src/topology.ts:1	Core/src/other/topology/Topology.java	Topology	true
typescript/packages/engine/src/trial.ts:1	Core/src/other/trial/Trial.java	Trial	true
typescript/packages/engine/src/builtin-defines.ts:1	Language/src/compiler/Compiler.java	Compiler	true
typescript/packages/engine/src/lud-options.ts:1	Language/src/compiler/Compiler.java	Compiler	true
typescript/packages/engine/src/lud-defines.ts:2	Language/src/parser/Expander.java	Expander	true
